0281725165947372021010208177+43533-072950FM-15+0240KRUT V0201805N00575005185MN0112655N5-00105-00105999999ADDAA101000021AU110030015AW1715GA1075+005185999GA2085+010675999GD13991+0051859GD24991+0106759GE19MSL   +99999+99999GF199999999999005181999999MA1101155098305MW1715REMMET11001/02/21 03:17:02 METAR KRUT 020817Z 18011KT 7SM -SN BKN017 OVC035 M01/M01 A2987 RMK AO2 PRESFR P0000 FZRANO $
0350725165947372021010208567+43533-072950FM-15+0240KRUT V0201505N00725005185MN0112655N5-00065-00065101005ADDAA101000395AA203000891AU110030015AW1715GA1085+005185999GD14991+0051859GE19MSL   +99999+99999GF199999999999005181999999MA1100955098105MD1890689+9999MW1715OC101185REMMET15801/02/21 03:56:02 METAR KRUT 020856Z 15014G23KT 7SM -SN OVC017 M01/M01 A2981 RMK AO2 UPB21E54SNE21B27E36B54 PRESFR SLP100 P0001 60003 T10061006 58068 FZRANO $EQDQ01  00078PRCP03
0342725165947372021010209567+43533-072950FM-15+0240KRUT V0201705N00575004575MN0096565N5+00005+00005100775ADDAA101001395AU120090015AU200001015AW1105AW2401AW3415GA1075+004575999GA2085+010975999GD13991+0045759GD24991+0109759GE19MSL   +99999+99999GF199999999999004571999999MA1100715097875OC101135REMMET14601/02/21 04:56:02 METAR KRUT 020956Z 17011G22KT 6SM UP BR BKN015 OVC036 00/00 A2974 RMK AO2 UPB19SNE19B23E34B44E55 SLP077 P0005 T00000000 FZRANO $
0309725165947372021010210107+43533-072950FM-15+0240KRUT V0201605N00775003965MN0080475N5+00005+00005999999ADDAA101001095AU120090015AU200001015AW1105AW2401AW3415GA1075+003965999GA2085+011585999GD13991+0039659GD24991+0115859GE19MSL   +99999+99999GF199999999999003961999999MA1100645097815OC101185REMMET11301/02/21 05:10:02 METAR KRUT 021010Z 16015G23KT 5SM UP BR BKN013 OVC038 00/00 A2972 RMK AO2 PRESFR P0004 FZRANO $
0290725165947372021010210337+43533-072950FM-15+0240KRUT V0201805V00515012195MN0160935N5+00005+00005999999ADDAA101001595AU120090015AW1401AW2415GA1045+004575999GA2085+012195999GD12991+0045759GD24991+0121959GE19MSL   +99999+99999GF199999999999004571999999MA1100585097745OC101035REMMET11101/02/21 05:33:02 METAR KRUT 021033Z 18010G20KT 10SM UP SCT015 OVC040 00/00 A2970 RMK AO2 PRESFR P0006 FZRANO $
0300725165947372021010210567+43533-072950FM-15+0240KRUT V0201705V00465004575MN0160935N5+00005+00005100615ADDAA101001895AU120090015AW1401AW2415GA1075+004575999GA2085+011585999GD13991+0045759GD24991+0115859GE19MSL   +99999+99999GF199999999999004571999999MA1100585097745OC100725REMMET12101/02/21 05:56:02 METAR KRUT 021056Z 17009G14KT 10SM UP BKN015 OVC038 00/00 A2970 RMK AO2 SLP061 P0007 T00000000 FZRANO $
0256725165947372021010211397+43533-072950FM-15+0240KRUT V0201705N00675003965MN0112655N5+00005+00005999999ADDAA101000895AU110030015AW1715GA1085+003965999GD14991+0039659GE19MSL   +99999+99999GF199999999999003961999999MA1100476097646MW1715OC100885REMMET10801/02/21 06:39:02 METAR KRUT 021139Z 17013G17KT 7SM -SN OVC013 00/00 A2967 RMK AO2 UPE38SNB38 P0003 FZRANO $
0473725165947372021010211567+43533-072950FM-15+0240KRUT V0201705V00515003965MN0128755N5+00005+00005100536ADDAA101001095AA206004891AA324004891AU120090015AW1401AW2415GA1075+003965999GA2075+005495999GA3085+010065999GD13991+0039659GD23991+0054959GD34991+0100659GE19MSL   +99999+99999GF199999999999003961999999KA1060M+00001KA2060N-00171MA1100515097675MD1690459+9999OC100885REMMET16601/02/21 06:56:02 METAR KRUT 021156Z 17010G17KT 8SM UP BKN013 BKN018 OVC033 00/00 A2968 RMK AO2 SNB38E48 SLP053 P0004 60019 70019 T00000000 10000 21017 56045 FZRANO $EQDQ01  00488PRCP06Q02  00488PRCP24
0333725165947372021010212537+43533-072950FM-15+0240KRUT V0201605N00465009145MN0160935N5+00105+00105999999ADDAA101000895AU110020015AW1615GA1045+003965999GA2075+009145999GA3085+011285999GD12991+0039659GD23991+0091459GD34991+0112859GE19MSL   +99999+99999GF199999999999003961999999MA1100515097675MW1615OC100825REMMET12301/02/21 07:53:02 METAR KRUT 021253Z 16009G16KT 10SM -RA SCT013 BKN030 OVC037 01/01 A2968 RMK AO2 UPE29RAB29 P0003 FZRANO $
0339725165947372021010212567+43533-072950FM-15+0240KRUT V0201805V00415009145MN0160935N5+00065+00065100546ADDAA101000895AU110020015AW1615GA1025+003965999GA2075+009145999GA3085+011285999GD11991+0039659GD23991+0091459GD34991+0112859GE19MSL   +99999+99999GF199999999999003961999999MA1100515097675MW1615REMMET13701/02/21 07:56:02 METAR KRUT 021256Z 18008KT 10SM -RA FEW013 BKN030 OVC037 01/01 A2968 RMK AO2 UPE29RAB29 SLP054 P0003 T00060006 FZRANO $
