0128997779999992023010409004+39300-075367FM-13+000399999V0202201N008219999999N999999999+01451+99999101121ADDMD1310151+9999OD159900821999SA1+0431REMSYN080SJSN4 46/// /2216 10145 40112 53015 90900 222// 00043 333 91216 555 11015 22016=
0128997779999992023010410004+39300-075367FM-13+000399999V0202301N005119999999N999999999+01511+99999101071ADDMD1990081+9999OD159900511999SA1+0421REMSYN080SJSN4 46/// /2310 10151 40107 50008 91000 222// 00042 333 91210 555 11010 22010=
0128997779999992023010411004+39300-075367FM-13+000399999V0202001N006719999999N999999999+01351+99999101181ADDMD1310111+9999OD159900721999SA1+0421REMSYN080SJSN4 46/// /2013 10135 40118 53011 91100 222// 00042 333 91214 555 11013 22014=
0128997779999992023010412004+39300-075367FM-13+000399999V0202001N006719999999N999999999+01371+99999101231ADDMD1310111+9999OD159900671999SA1+0411REMSYN080SJSN4 46/// /2013 10137 40123 53011 91200 222// 00041 333 91213 555 11012 22013=
0128997779999992023010413004+39300-075367FM-13+000399999V0202001N005719999999N999999999+01211+99999101291ADDMD1110221+9999OD159900671999SA1+0421REMSYN080SJSN4 46/// /2011 10121 40129 51022 91300 222// 00042 333 91213 555 11011 22012=
0128997779999992023010414004+39300-075367FM-13+000399999V0202001N005119999999N999999999+01421+99999101271ADDMD1110091+9999OD159900621999SA1+0421REMSYN080SJSN4 46/// /2010 10142 40127 51009 91400 222// 00042 333 91212 555 11010 22011=
0128997779999992023010415004+39300-075367FM-13+000399999V0201901N005719999999N999999999+01061+99999101331ADDMD1210101+9999OD159900621999SA1+0421REMSYN080SJSN4 46/// /1911 10106 40133 52010 91500 222// 00042 333 91212 555 11011 22012=
0128997779999992023010416004+39300-075367FM-13+000399999V0201801N005719999999N999999999+01171+99999101301ADDMD1990001+9999OD159900671999SA1+0431REMSYN080SJSN4 46/// /1811 10117 40130 50000 91600 222// 00043 333 91213 555 11010 22011=
0128997779999992023010417004+39300-075367FM-13+000399999V0201701N005719999999N999999999+01021+99999101201ADDMD1810071+9999OD159900621999SA1+0431REMSYN080SJSN4 46/// /1711 10102 40120 58007 91700 222// 00043 333 91212 555 11010 22011=
0128997779999992023010418004+39300-075367FM-13+000399999V0202101N004119999999N999999999+01331+99999101101ADDMD1810231+9999OD159900461999SA1+0441REMSYN080SJSN4 46/// /2108 10133 40110 58023 91800 222// 00044 333 91209 555 11007 22008=
0128997779999992023010419004+39300-075367FM-13+000399999V0201901N004619999999N999999999+01241+99999101021ADDMD1610281+9999OD159900511999SA1+0451REMSYN080SJSN4 46/// /1909 10124 40102 56028 91900 222// 00045 333 91210 555 11008 22009=
0108997779999992023010420004+39300-075367FM-13+000399999V0202001N007719999999N999999999+01421+99999101011ADDOD159900881999SA1+0441REMSYN074SJSN4 46/// /2015 10142 40101 91942 222// 00044 333 91217 555 11014 22015=
0128997779999992023010421004+39300-075367FM-13+000399999V0201301N003619999999N999999999+00891+99999100931ADDMD1710171+9999OD159900461999SA1+0441REMSYN080SJSN4 46/// /1307 10089 40093 57017 92100 222// 00044 333 91209 555 11007 22007=
0128997779999992023010422004+39300-075367FM-13+000399999V0201601N008219999999N999999999+00921+99999100971ADDMD1510051+9999OD159900881999SA1+0501REMSYN080SJSN4 46/// /1616 10092 40097 55005 92200 222// 00050 333 91217 555 11016 22017=
0108997779999992023010423004+39300-075367FM-13+000399999V0202001N008219999999N999999999+01201+99999100991ADDOD159900931999SA1+0471REMSYN074SJSN4 46/// /2016 10120 40099 92242 222// 00047 333 91218 555 11015 22016=
0128997779999992023010500004+39300-075367FM-13+000399999V0201301N004119999999N999999999+00781+99999100901ADDMD1810031+9999OD159900511999SA1+0451REMSYN080SJSN4 46/// /1308 10078 40090 58003 90000 222// 00045 333 91210 555 11008 22009=
0128997779999992023010501004+39300-075367FM-13+000399999V0201501N005719999999N999999999+00741+99999100871ADDMD1810101+9999OD159900671999SA1+0431REMSYN080SJSN4 46/// /1511 10074 40087 58010 90100 222// 00043 333 91213 555 11011 22012=
0128997779999992023010502004+39300-075367FM-13+000399999V0201601N005119999999N999999999+00931+99999100931ADDMD1510081+9999OD159900621999SA1+0441REMSYN080SJSN4 46/// /1610 10093 40093 55008 90200 222// 00044 333 91212 555 11010 22011=
0108997779999992023010503004+39300-075367FM-13+000399999V0201701N003619999999N999999999+01071+99999100941ADDMD1310041+9999OD159900461999REMSYN068SJSN4 46/// /1707 10107 40094 53004 90300 333 91209 555 11007 22007=
0128997779999992023010504004+39300-075367FM-13+000399999V0202301N005719999999N999999999+01401+99999100951ADDMD1110081+9999OD159900621999SA1+0441REMSYN080SJSN4 46/// /2311 10140 40095 51008 90400 222// 00044 333 91212 555 11010 22011=
0128997779999992023010505004+39300-075367FM-13+000399999V0202401N007219999999N999999999+01521+99999101011ADDMD1310081+9999OD159900881999SA1+0441REMSYN080SJSN4 46/// /2414 10152 40101 53008 90500 222// 00044 333 91217 555 11013 22014=
0128997779999992023010506004+39300-075367FM-13+000399999V0202301N006719999999N999999999+01441+99999101061ADDMD1310121+9999OD159900821999SA1+0451REMSYN080SJSN4 46/// /2313 10144 40106 53012 90600 222// 00045 333 91216 555 11013 22014=
0128997779999992023010507004+39300-075367FM-13+000399999V0202401N005719999999N999999999+01551+99999101141ADDMD1310191+9999OD159900621999SA1+0451REMSYN080SJSN4 46/// /2411 10155 40114 53019 90700 222// 00045 333 91212 555 11010 22011=
0128997779999992023010508004+39300-075367FM-13+000399999V0202301N005719999999N999999999+01281+99999101211ADDMD1310201+9999OD159900571999SA1+0451REMSYN080SJSN4 46/// /2311 10128 40121 53020 90800 222// 00045 333 91211 555 11010 22011=
0128997779999992023010509004+39300-075367FM-13+000399999V0202401N005719999999N999999999+01441+99999101261ADDMD1110201+9999OD159900621999SA1+0461REMSYN080SJSN4 46/// /2411 10144 40126 51020 90900 222// 00046 333 91212 555 11011 22012=
0128997779999992023010510004+39300-075367FM-13+000399999V0202401N004619999999N999999999+01231+99999101261ADDMD1110121+9999OD159900461999SA1+0461REMSYN080SJSN4 46/// /2409 10123 40126 51012 91000 222// 00046 333 91209 555 11008 22009=
0128997779999992023010511004+39300-075367FM-13+000399999V0203001N001519999999N999999999+01091+99999101301ADDMD1110091+9999OD159900261999SA1+0451REMSYN080SJSN4 46/// /3003 10109 40130 51009 91100 222// 00045 333 91205 555 11003 22003=
0128997779999992023010512004+39300-075367FM-13+000399999V0200201N002119999999N999999999+00961+99999101361ADDMD1310101+9999OD159900211999SA1+0441REMSYN080SJSN4 46/// /0204 10096 40136 53010 91200 222// 00044 333 91204 555 11004 22004=
0128997779999992023010513004+39300-075367FM-13+000399999V0203501N002619999999N999999999+01031+99999101481ADDMD1310221+9999OD159900261999SA1+0451REMSYN080SJSN4 46/// /3505 10103 40148 53022 91300 222// 00045 333 91205 555 11004 22005=
0128997779999992023010514004+39300-075367FM-13+000399999V0203301N002119999999N999999999+00931+99999101491ADDMD1110191+9999OD159900211999SA1+0451REMSYN080SJSN4 46/// /3304 10093 40149 51019 91400 222// 00045 333 91204 555 11003 22004=
0128997779999992023010515004+39300-075367FM-13+000399999V0203401N002619999999N999999999+00911+99999101551ADDMD1110191+9999OD159900261999SA1+0451REMSYN080SJSN4 46/// /3405 10091 40155 51019 91500 222// 00045 333 91205 555 11005 22005=
0128997779999992023010516004+39300-075367FM-13+000399999V0203501N002119999999N999999999+00941+99999101471ADDMD1990001+9999OD159900261999SA1+0451REMSYN080SJSN4 46/// /3504 10094 40147 50000 91600 222// 00045 333 91205 555 11004 22004=
0128997779999992023010517004+39300-075367FM-13+000399999V0209999C000019999999N999999999+01051+99999101431ADDMD1810061+9999OD159900001999SA1+0461REMSYN080SJSN4 46/// /0000 10105 40143 58006 91700 222// 00046 333 91200 555 11000 22000=
0128997779999992023010518004+39300-075367FM-13+000399999V0202701N001019999999N999999999+01281+99999101371ADDMD1610181+9999OD159900151999SA1+0461REMSYN080SJSN4 46/// /2702 10128 40137 56018 91800 222// 00046 333 91203 555 11002 22002=
0128997779999992023010519004+39300-075367FM-13+000399999V0202901N002119999999N999999999+01301+99999101281ADDMD1810191+9999OD159900211999SA1+0481REMSYN080SJSN4 46/// /2904 10130 40128 58019 91900 222// 00048 333 91204 555 11004 22004=
0128997779999992023010520004+39300-075367FM-13+000399999V0203201N003619999999N999999999+01501+99999101241ADDMD1610191+9999OD159900411999SA1+0491REMSYN080SJSN4 46/// /3207 10150 40124 56019 92000 222// 00049 333 91208 555 11007 22008=
0128997779999992023010521004+39300-075367FM-13+000399999V0203401N003119999999N999999999+01501+99999101271ADDMD1510101+9999OD159900311999SA1+0481REMSYN080SJSN4 46/// /3406 10150 40127 55010 92100 222// 00048 333 91206 555 11005 22006=
