0128997779999992021010420004+39300-075367FM-13+000399999V0203401N002619999999N999999999+00531+99999101531ADDMD1610091+9999OD159900261999SA1+0491REMSYN080SJSN4 46/// /3405 10053 40153 56009 92000 222// 00049 333 91205 555 11004 22005=
0128997779999992021010421004+39300-075367FM-13+000399999V0200101N002619999999N999999999+00551+99999101541ADDMD1510001+9999OD159900311999SA1+0491REMSYN080SJSN4 46/// /0105 10055 40154 55000 92100 222// 00049 333 91206 555 11005 22005=
0128997779999992021010422004+39300-075367FM-13+000399999V0203301N001519999999N999999999+00541+99999101551ADDMD1410001+9999OD159900151999SA1+0491REMSYN080SJSN4 46/// /3303 10054 40155 54000 92200 222// 00049 333 91203 555 11003 22003=
0128997779999992021010423004+39300-075367FM-13+000399999V0200201N002119999999N999999999+00541+99999101551ADDMD1410001+9999OD159900211999SA1+0491REMSYN080SJSN4 46/// /0204 10054 40155 54000 92300 222// 00049 333 91204 555 11004 22004=
0128997779999992021010500004+39300-075367FM-13+000399999V0203601N001019999999N999999999+00551+99999101581ADDMD1310041+9999OD159900101999SA1+0481REMSYN080SJSN4 46/// /3602 10055 40158 53004 90000 222// 00048 333 91202 555 11002 22002=
0088997779999992021010501004+39300-075367FM-13+000399999V0209999C000019999999N999999999+00511+99999101571ADDMD1410001+9999SA1+0491REMSYN054SJSN4 46/// ///// 10051 40157 54000 90100 222// 00049=
0128997779999992021010502004+39300-075367FM-13+000399999V0203101N001019999999N999999999+00481+99999101521ADDMD1810031+9999OD159900151999SA1+0491REMSYN080SJSN4 46/// /3102 10048 40152 58003 90200 222// 00049 333 91203 555 11002 22002=
0128997779999992021010503004+39300-075367FM-13+000399999V0203001N001519999999N999999999+00501+99999101501ADDMD1710081+9999OD159900151999SA1+0491REMSYN080SJSN4 46/// /3003 10050 40150 57008 90300 222// 00049 333 91203 555 11003 22003=
0128997779999992021010504004+39300-075367FM-13+000399999V0203101N001519999999N999999999+00501+99999101481ADDMD1610091+9999OD159900151999SA1+0501REMSYN080SJSN4 46/// /3103 10050 40148 56009 90400 222// 00050 333 91203 555 11003 22003=
0128997779999992021010505004+39300-075367FM-13+000399999V0203101N001519999999N999999999+00491+99999101421ADDMD1810101+9999OD159900151999SA1+0491REMSYN080SJSN4 46/// /3103 10049 40142 58010 90500 222// 00049 333 91203 555 11003 22003=
0108997779999992021010506004+39300-075367FM-13+000399999V0200201N001019999999N999999999+00491+99999101391ADDMD1810111+9999OD159900151999REMSYN068SJSN4 46/// /0202 10049 40139 58011 90600 333 91203 555 11002 22002=
0128997779999992021010507004+39300-075367FM-13+000399999V0209999C000019999999N999999999+00471+99999101401ADDMD1610081+9999OD159900051999SA1+0491REMSYN080SJSN4 46/// /0000 10047 40140 56008 90700 222// 00049 333 91201 555 11000 22000=
0128997779999992021010508004+39300-075367FM-13+000399999V0209999C000019999999N999999999+00471+99999101401ADDMD1510001+9999OD159900051999SA1+0491REMSYN080SJSN4 46/// /0000 10047 40140 55000 90800 222// 00049 333 91201 555 11000 22000=
0128997779999992021010509004+39300-075367FM-13+000399999V0200201N001519999999N999999999+00451+99999101361ADDMD1810031+9999OD159900211999SA1+0491REMSYN080SJSN4 46/// /0203 10045 40136 58003 90900 222// 00049 333 91204 555 11003 22003=
0128997779999992021010510004+39300-075367FM-13+000399999V0200301N002119999999N999999999+00431+99999101381ADDMD1410001+9999OD159900261999SA1+0491REMSYN080SJSN4 46/// /0304 10043 40138 54000 91000 222// 00049 333 91205 555 11004 22004=
0108997779999992021010511004+39300-075367FM-13+000399999V0200201N001019999999N999999999+00411+99999101401ADDOD159900101999SA1+0491REMSYN074SJSN4 46/// /0202 10041 40140 91042 222// 00049 333 91202 555 11002 22002=
0128997779999992021010512004+39300-075367FM-13+000399999V0209999C000019999999N999999999+00411+99999101411ADDMD1210051+9999OD159900001999SA1+0491REMSYN080SJSN4 46/// /0000 10041 40141 52005 91200 222// 00049 333 91200 555 11000 22000=
0088997779999992021010513004+39300-075367FM-13+000399999V0209999C000019999999N999999999+00421+99999101441ADDMD1210061+9999SA1+0491REMSYN054SJSN4 46/// ///// 10042 40144 52006 91300 222// 00049=
0108997779999992021010514004+39300-075367FM-13+000399999V0200201N001019999999N999999999+00411+99999101481ADDOD159900101999SA1+0491REMSYN074SJSN4 46/// /0202 10041 40148 91336 222// 00049 333 91202 555 11002 22002=
0128997779999992021010515004+39300-075367FM-13+000399999V0200201N002119999999N999999999+00421+99999101451ADDMD1110041+9999OD159900261999SA1+0491REMSYN080SJSN4 46/// /0204 10042 40145 51004 91500 222// 00049 333 91205 555 11004 22004=
0128997779999992021010516004+39300-075367FM-13+000399999V0203601N002619999999N999999999+00411+99999101381ADDMD1810061+9999OD159900311999SA1+0491REMSYN080SJSN4 46/// /3605 10041 40138 58006 91600 222// 00049 333 91206 555 11005 22005=
0128997779999992021010517004+39300-075367FM-13+000399999V0203001N001019999999N999999999+99999+99999101311ADDMD1810161+9999OD159900151999SA1+0491REMSYN080SJSN4 46/// /3002 1//// 40131 58016 91700 222// 00049 333 91203 555 11002 22002=
