0108997743999992023010302004+40650-074067FM-13+007299999V0202501N001519999999N999999999+01171+99999102101ADDMD1110111+9999OD159900211999REMSYN068ROBN4 46/// /2503 10117 40210 51011 90200 333 91204 555 11002 22003=
0108997743999992023010303004+40650-074067FM-13+007299999V0201601N001519999999N999999999+01051+99999102081ADDMD1110051+9999OD159900211999REMSYN068ROBN4 46/// /1603 10105 40208 51005 90300 333 91204 555 11003 22003=
0108997743999992023010304004+40650-074067FM-13+007299999V0201301N001019999999N999999999+00931+99999102051ADDMD1810031+9999OD159900151999REMSYN068ROBN4 46/// /1302 10093 40205 58003 90400 333 91203 555 11002 22002=
0108997743999992023010305004+40650-074067FM-13+007299999V0201701N002119999999N999999999+01021+99999102011ADDMD1810091+9999OD159900211999REMSYN068ROBN4 46/// /1704 10102 40201 58009 90500 333 91204 555 11003 22004=
0108997743999992023010306004+40650-074067FM-13+007299999V0201801N002119999999N999999999+00961+99999101961ADDMD1810121+9999OD159900261999REMSYN068ROBN4 46/// /1804 10096 40196 58012 90600 333 91205 555 11004 22004=
0108997743999992023010307004+40650-074067FM-13+007299999V0201701N003619999999N999999999+00911+99999101961ADDMD1610091+9999OD159900411999REMSYN068ROBN4 46/// /1707 10091 40196 56009 90700 333 91208 555 11007 22007=
0108997743999992023010308004+40650-074067FM-13+007299999V0201801N003119999999N999999999+00831+99999101951ADDMD1610061+9999OD159900361999REMSYN068ROBN4 46/// /1806 10083 40195 56006 90800 333 91207 555 11005 22006=
0108997743999992023010309004+40650-074067FM-13+007299999V0201501N003119999999N999999999+00891+99999101911ADDMD1810051+9999OD159900411999REMSYN068ROBN4 46/// /1506 10089 40191 58005 90900 333 91208 555 11006 22006=
0108997743999992023010310004+40650-074067FM-13+007299999V0201501N003619999999N999999999+00911+99999101841ADDMD1810121+9999OD159900411999REMSYN068ROBN4 46/// /1507 10091 40184 58012 91000 333 91208 555 11007 22007=
0108997743999992023010311004+40650-074067FM-13+007299999V0201801N004119999999N999999999+00891+99999101831ADDMD1610121+9999OD159900461999REMSYN068ROBN4 46/// /1808 10089 40183 56012 91100 333 91209 555 11008 22008=
0108997743999992023010312004+40650-074067FM-13+007299999V0201701N002619999999N999999999+00911+99999101771ADDMD1610141+9999OD159900261999REMSYN068ROBN4 46/// /1705 10091 40177 56014 91200 333 91205 555 11004 22005=
0108997743999992023010313004+40650-074067FM-13+007299999V0201801N003619999999N999999999+00911+99999101691ADDMD1810151+9999OD159900361999REMSYN068ROBN4 46/// /1807 10091 40169 58015 91300 333 91207 555 11006 22007=
0088997743999992023010314004+40650-074067FM-13+007299999V0201601N004619999999N999999999+00911+99999101601ADDOD159900461999REMSYN062ROBN4 46/// /1609 10091 40160 91342 333 91209 555 11008 22009=
0108997743999992023010315004+40650-074067FM-13+007299999V0201501N002619999999N999999999+00821+99999101541ADDMD1710231+9999OD159900311999REMSYN068ROBN4 46/// /1505 10082 40154 57023 91500 333 91206 555 11005 22005=
0108997743999992023010316004+40650-074067FM-13+007299999V0203401N000519999999N999999999+00901+99999101591ADDMD1510101+9999OD159900151999REMSYN068ROBN4 46/// /3401 10090 40159 55010 91600 333 91203 555 11001 22001=
0108997743999992023010317004+40650-074067FM-13+007299999V0200301N001019999999N999999999+00861+99999101361ADDMD1810261+9999OD159900151999REMSYN068ROBN4 46/// /0302 10086 40136 58026 91700 333 91203 555 11002 22002=
0108997743999992023010318004+40650-074067FM-13+007299999V0201801N002619999999N999999999+00891+99999101291ADDMD1810251+9999OD159900261999REMSYN068ROBN4 46/// /1805 10089 40129 58025 91800 333 91205 555 11004 22004=
0108997743999992023010319004+40650-074067FM-13+007299999V0201901N003119999999N999999999+00941+99999101191ADDMD1610401+9999OD159900411999REMSYN068ROBN4 46/// /1906 10094 40119 56040 91900 333 91208 555 11006 22006=
0108997743999992023010320004+40650-074067FM-13+007299999V0201701N003619999999N999999999+00971+99999101111ADDMD1810251+9999OD159900461999REMSYN068ROBN4 46/// /1707 10097 40111 58025 92000 333 91209 555 11006 22007=
0108997743999992023010321004+40650-074067FM-13+007299999V0201701N003619999999N999999999+01011+99999101051ADDMD1610241+9999OD159900411999REMSYN068ROBN4 46/// /1707 10101 40105 56024 92100 333 91208 555 11007 22007=
0108997743999992023010322004+40650-074067FM-13+007299999V0201701N003119999999N999999999+01091+99999100981ADDMD1610211+9999OD159900311999REMSYN068ROBN4 46/// /1706 10109 40098 56021 92200 333 91206 555 11005 22006=
0108997743999992023010323004+40650-074067FM-13+007299999V0201601N001519999999N999999999+01141+99999100981ADDMD1610131+9999OD159900151999REMSYN068ROBN4 46/// /1603 10114 40098 56013 92300 333 91203 555 11003 22003=
0108997743999992023010400004+40650-074067FM-13+007299999V0201101N002119999999N999999999+01141+99999100971ADDMD1610081+9999OD159900261999REMSYN068ROBN4 46/// /1104 10114 40097 56008 90000 333 91205 555 11004 22004=
0108997743999992023010401004+40650-074067FM-13+007299999V0201901N003119999999N999999999+01121+99999100951ADDMD1710031+9999OD159900411999REMSYN068ROBN4 46/// /1906 10112 40095 57003 90100 333 91208 555 11006 22006=
0108997743999992023010402004+40650-074067FM-13+007299999V0201901N004619999999N999999999+01061+99999100951ADDMD1710031+9999OD159900461999REMSYN068ROBN4 46/// /1909 10106 40095 57003 90200 333 91209 555 11008 22009=
0108997743999992023010403004+40650-074067FM-13+007299999V0201801N003619999999N999999999+00971+99999100941ADDMD1710031+9999OD159900411999REMSYN068ROBN4 46/// /1807 10097 40094 57003 90300 333 91208 555 11006 22007=
0108997743999992023010404004+40650-074067FM-13+007299999V0201601N002119999999N999999999+00931+99999100921ADDMD1710031+9999OD159900211999REMSYN068ROBN4 46/// /1604 10093 40092 57003 90400 333 91204 555 11004 22004=
0108997743999992023010405004+40650-074067FM-13+007299999V0201801N004619999999N999999999+01031+99999100821ADDMD1810131+9999OD159900511999REMSYN068ROBN4 46/// /1809 10103 40082 58013 90500 333 91210 555 11008 22009=
