date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2023-05-04,26900,119600,NNW,11.0,2000.0
2023-05-05,677200,981800,NE,19.0,1600.0
2023-05-06,735600,600100,NE,21.0,1000.0
2023-05-07,866100,1724400,NE,19.0,1100.0
2023-05-08,326100,518400,NE,12.0,500.0
2023-05-09,2820400,2151500,NNE,16.0,1000.0
2023-05-10,3565100,2057500,NNE,32.0,900.0
2023-05-11,5340300,3813100,NNE,32.0,1000.0
2023-05-12,2874400,3213600,NE,24.0,600.0
2023-05-13,69100,311900,NNE,8.0,1000.0
2023-05-14,667600,811000,NE,17.0,600.0
2023-05-15,2443900,1598500,NE,28.0,1000.0
2023-05-16,60800,134100,ENE,21.0,2100.0
2023-05-17,209600,265900,NNE,17.0,700.0
2023-05-18,10755200,5484900,NNE,41.0,2000.0
2023-05-19,3736800,2061300,NNE,42.0,2200.0
2023-05-20,224800,596600,NNE,31.0,2000.0
2023-05-21,174800,462600,ENE,19.0,1000.0
2023-05-22,3288500,1776300,NNE,27.0,2800.0
2023-05-23,4655900,2301200,NE,38.0,2500.0
2023-05-24,11400,53100,ENE,10.0,700.0
2023-05-25,162200,237200,ENE,19.0,1200.0
2023-05-26,774500,670200,NE,24.0,1700.0
2023-05-27,1172000,793000,NNE,28.0,1900.0
2023-05-28,94900,287200,ENE,23.0,1500.0
2023-05-29,942100,700100,NNE,28.0,3400.0
2023-05-30,379900,269000,NE,33.0,2000.0
2023-05-31,380100,300300,ENE,25.0,1400.0
2023-06-01,87400,146800,ENE,13.0,1900.0
2023-06-02,10300,57900,NE,4.0,1300.0
2023-06-03,45300,147800,NNE,7.0,500.0
2023-06-04,21500,84400,NNE,6.0,1300.0
2023-06-05,195300,219400,NE,14.0,1600.0
2023-06-06,8700,70500,NNW,5.0,1900.0
2023-06-07,27600,165000,ENE,16.0,1600.0
2023-06-08,162900,291400,NE,15.0,1600.0
2023-06-09,238900,338900,NE,21.0,1000.0
2023-06-10,241300,180800,NE,23.0,1200.0
2023-06-11,58800,232500,NE,21.0,1200.0
2023-06-12,54600,105900,N,26.0,2000.0
2023-06-13,31300,69100,NE,13.0,2600.0
2023-06-14,11600,71600,NE,19.0,1800.0
2023-06-15,-,-,-,-,-
2023-08-01,117500,159200,SSW,15.0,1700.0
2023-08-02,10600,28700,—,-,-
2023-08-03,9100,65100,ESE,12.0,1600.0
2023-08-04,94600,114700,S,15.0,3400.0
2023-08-05,224600,244500,S,19.0,2200.0
2023-08-06,86100,136600,WSW,13.0,2400.0
2023-08-07,9000,58500,SE,12.0,3600.0
2023-08-08,158500,159000,SSE,20.0,2600.0
2023-08-09,197700,353000,SE,16.0,2200.0
2023-08-10,44500,123900,SE,20.0,1200.0
2023-08-11,228000,259900,SSE,18.0,1500.0
2023-08-12,9300,52900,ESE,11.0,3000.0
2023-08-13,202000,308700,SSE,16.0,1500.0
2023-08-14,482100,698300,SW,17.0,1300.0
2023-08-15,75100,218100,WSW,7.0,2500.0
2023-08-16,40500,103800,SSW,7.0,3800.0
2023-08-17,10400,36300,—,-,-
2023-08-18,63300,159600,SE,10.0,1800.0
2023-08-19,126400,138200,SE,23.0,1700.0
2023-08-20,120800,153100,SE,13.0,2000.0
2023-08-21,3337000,2479900,SSW,24.0,1400.0
2023-08-22,828600,874900,SSW,22.0,1500.0
2023-08-23,14600,33800,—,-,-
2023-08-24,9800,46500,—,-,-
2023-08-25,64400,101900,SSE,11.0,2500.0
2023-08-26,1174500,1501700,SSW,21.0,1800.0
2023-08-27,2013700,2076400,SSW,22.0,2000.0
2023-08-28,9600,40700,—,-,-
2023-08-29,19900,91200,WSW,9.0,1500.0
2023-08-30,2060800,1225000,SSE,31.0,1300.0
2023-08-31,1790200,1737500,SSW,27.0,2100.0
2023-09-01,35400,76100,SW,5.0,2600.0
2023-09-02,18800,36800,—,-,-
2023-09-03,633800,726200,S,12.0,1700.0
2023-09-04,2479400,1668100,SW,22.0,2700.0
2023-09-05,2838000,2013000,SW,20.0,2600.0
2023-09-06,355500,624100,SW,9.0,1700.0
2023-09-07,15500,137900,S,5.0,2200.0
2023-09-08,308100,533800,SSW,12.0,1400.0
2023-09-09,3778100,4480400,SW,20.0,1400.0
2023-09-10,92500,306200,SSW,9.0,1500.0
2023-09-11,1550700,3498500,SW,17.0,1600.0
2023-09-12,190200,483500,SW,6.0,2000.0
2023-09-13,801100,1349900,SSE,17.0,1300.0
2023-09-14,5436800,3587500,SSW,26.0,1200.0
2023-09-15,6059200,3200200,SW,41.0,1500.0
2023-09-16,731400,602000,SSE,23.0,1500.0
2023-09-17,375800,476700,SW,14.0,1700.0
2023-09-18,132300,248500,SSE,23.0,1800.0
2023-09-19,1211000,1070100,SSE,21.0,1200.0
2023-09-20,5110900,3517200,SSW,24.0,1800.0
2023-09-21,6713900,4244900,SW,26.0,2300.0
2023-09-22,93300,151200,WSW,17.0,2300.0
2023-09-23,2294800,1979200,SW,20.0,1800.0
2023-09-24,3244100,2844300,SW,26.0,2100.0
2023-09-25,4162600,3021500,WSW,28.0,1600.0
2023-09-26,3969400,2146400,SSW,25.0,2500.0
2023-09-27,1281100,1184000,SW,20.0,2300.0
2023-09-28,132400,271400,WSW,13.0,2400.0
2023-09-29,203800,255700,SW,16.0,2200.0
2023-09-30,6448200,3383700,SSW,30.0,2800.0
2023-10-01,7551100,3442900,SSW,35.0,2400.0
2023-10-02,167000,180000,S,14.0,3500.0
2023-10-03,290100,195900,S,15.0,2600.0
2023-10-04,19100,56300,WSW,7.0,5900.0
2023-10-05,11700,25800,—,-,-
2023-10-06,11500,37600,—,-,-
2023-10-07,32800,50000,SE,25.0,1200.0
2023-10-08,23200,70100,SSE,8.0,1100.0
2023-10-09,105400,229800,SSW,6.0,900.0
2023-10-10,514100,1008900,SSW,9.0,800.0
2023-10-11,789600,1037200,S,12.0,1100.0
2023-10-12,12155400,8610300,S,29.0,1900.0
2023-10-13,8445100,5103100,S,32.0,2700.0
