date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2023-04-22,8600,26300,—,-,-
2023-04-23,8900,24200,—,-,-
2023-04-24,17200,25900,—,-,-
2023-04-25,54500,49100,NE,15.0,1900.0
2023-04-26,365700,518900,NE,26.0,2900.0
2023-04-27,213100,156500,NNE,20.0,2900.0
2023-04-28,8400,20500,—,-,-
2023-04-29,1013500,770000,NNE,27.0,1900.0
2023-04-30,19500,67700,NE,12.0,1300.0
2023-05-01,1222300,599200,NE,43.0,1600.0
2023-05-02,23700,32800,—,-,-
2023-05-03,15300,33000,—,-,-
2023-05-04,599800,445400,NE,25.0,1200.0
2023-05-05,1512300,824500,ENE,24.0,800.0
2023-05-06,7633700,3737300,NE,32.0,1000.0
2023-05-07,1418900,1547300,NE,26.0,1300.0
2023-05-08,262100,690700,NE,12.0,1200.0
2023-05-09,609300,756800,NNE,22.0,1900.0
2023-05-10,7187000,2908800,NE,36.0,900.0
2023-05-11,7809100,2685700,NE,40.0,1000.0
2023-05-12,4571500,2490300,NE,35.0,1500.0
2023-05-13,46200,140700,ENE,21.0,1800.0
2023-05-14,38200,241900,ENE,11.0,1200.0
2023-05-15,4210800,1548800,NE,44.0,900.0
2023-05-16,934000,719400,NE,33.0,1100.0
2023-05-17,17400,43400,NNE,19.0,3300.0
2023-05-18,810500,495900,NNE,30.0,1700.0
2023-05-19,554600,454600,NE,25.0,2000.0
2023-05-20,262600,340000,ENE,25.0,1600.0
2023-05-21,526000,752100,ENE,14.0,1100.0
2023-05-22,616500,1145400,N,20.0,1600.0
2023-05-23,51900,119900,NNE,15.0,1500.0
2023-05-24,80600,399100,NE,18.0,1700.0
2023-05-25,380300,618600,NNE,25.0,1200.0
2023-05-26,318500,460100,NNE,24.0,1300.0
2023-05-27,98500,137100,NNE,20.0,1400.0
2023-05-28,29800,39400,NNE,11.0,2200.0
2023-05-29,16400,36000,—,-,-
2023-05-30,14600,27700,—,-,-
2023-05-31,35800,48200,NE,12.0,1600.0
2023-06-01,296100,278500,ENE,16.0,700.0
2023-06-02,436200,449500,NNE,18.0,1300.0
2023-06-03,11300,26600,—,-,-
2023-06-04,57300,76700,NE,14.0,1600.0
2023-06-05,14300,40300,ENE,15.0,2600.0
2023-06-06,10500,30500,—,-,-
2023-06-07,11900,27400,—,-,-
2023-06-08,20300,65000,NE,6.0,1500.0
2023-06-09,12100,37000,—,-,-
2023-06-10,138200,141500,NE,15.0,1700.0
2023-06-11,87600,88900,NNE,32.0,1800.0
2023-06-12,11500,35800,—,-,-
2023-06-13,36000,55700,NE,17.0,1400.0
2023-06-14,7900,20100,—,-,-
2023-08-01,203600,183000,SSW,15.0,2100.0
2023-08-02,8600,19700,—,-,-
2023-08-03,8300,21900,—,-,-
2023-08-04,23100,36300,—,-,-
2023-08-05,336900,311800,SSW,11.0,1800.0
2023-08-06,8000,99900,SE,11.0,3600.0
2023-08-07,9300,24700,—,-,-
2023-08-08,211000,141700,SE,23.0,2100.0
2023-08-09,80600,197400,SE,13.0,2900.0
2023-08-10,249900,167100,SSE,23.0,2900.0
2023-08-11,347200,344000,SSE,13.0,2800.0
2023-08-12,8800,23300,—,-,-
2023-08-13,502000,506400,SSE,18.0,2600.0
2023-08-14,7900,153500,SW,3.0,1400.0
2023-08-15,102600,170400,WSW,9.0,1300.0
2023-08-16,75100,212300,SSE,7.0,2900.0
2023-08-17,8900,25400,—,-,-
2023-08-18,698600,445400,SE,25.0,1600.0
2023-08-19,295100,293300,SSE,18.0,3000.0
2023-08-20,108100,145700,SSE,14.0,3800.0
2023-08-21,1433500,775700,S,20.0,2900.0
2023-08-22,3022000,1705900,SSW,25.0,2300.0
2023-08-23,10900,40700,S,4.0,4000.0
2023-08-24,9000,23600,—,-,-
2023-08-25,53400,70400,SSE,11.0,4400.0
2023-08-26,1875700,1070500,SSW,23.0,2300.0
2023-08-27,917300,658200,SW,19.0,2300.0
2023-08-28,57700,116500,WSW,14.0,1600.0
2023-08-29,16400,57000,SW,8.0,2200.0
2023-08-30,2993000,1329300,S,32.0,2100.0
2023-08-31,4599100,2079900,SW,36.0,1900.0
2023-09-01,75000,92900,SW,14.0,3200.0
2023-09-02,23600,25800,—,-,-
2023-09-03,857000,521100,S,21.0,2700.0
2023-09-04,2455900,1130700,SSW,29.0,2400.0
2023-09-05,2125400,1235800,SSW,22.0,2600.0
2023-09-06,630400,516900,S,15.0,3300.0
2023-09-07,29100,84100,SE,4.0,2200.0
2023-09-08,34300,89200,SSW,9.0,4100.0
2023-09-09,98800,184200,WSW,10.0,1300.0
2023-09-10,97400,379900,WSW,15.0,900.0
2023-09-11,4499000,2755900,SSW,21.0,1600.0
2023-09-12,63000,171300,S,7.0,3400.0
2023-09-13,4229600,2497200,S,25.0,1200.0
2023-09-14,9874500,3271900,SW,39.0,1700.0
2023-09-15,3244500,1215300,SSW,39.0,2000.0
2023-09-16,1161800,710900,S,19.0,1300.0
2023-09-17,10000,248600,ESE,9.0,1200.0
2023-09-18,982100,685500,SSE,24.0,2600.0
2023-09-19,3718000,2096200,SSW,20.0,1500.0
2023-09-20,4916400,3181700,SW,25.0,1300.0
2023-09-21,4068300,1920600,SW,27.0,1200.0
2023-09-22,505600,468000,SW,31.0,1100.0
2023-09-23,22400,69300,WSW,38.0,1100.0
2023-09-24,11900,39000,WSW,21.0,1700.0
2023-09-25,219800,248900,SW,27.0,1100.0
2023-09-26,5242200,3257700,SW,34.0,1500.0
2023-09-27,3326100,2165700,SW,28.0,1100.0
2023-09-28,17100,51900,WSW,23.0,1800.0
2023-09-29,91700,197700,SW,13.0,1200.0
2023-09-30,8268900,3121700,SSW,36.0,2000.0
2023-10-01,9294200,3741900,SSW,35.0,2100.0
2023-10-02,1819500,1489900,SSW,19.0,2700.0
2023-10-03,289000,224200,SSW,15.0,2600.0
2023-10-04,12300,142400,ESE,6.0,2600.0
2023-10-05,38100,82400,W,17.0,1300.0
2023-10-06,20900,38800,WSW,7.0,1000.0
2023-10-07,3076500,1961200,SSE,32.0,1700.0
2023-10-08,221500,240800,ESE,14.0,1000.0
2023-10-09,30800,74900,S,5.0,1400.0
2023-10-10,482800,765100,S,11.0,1200.0
2023-10-11,3518800,2408900,SSW,19.0,1600.0
2023-10-12,16920400,8432100,SSW,30.0,1300.0
2023-10-13,9736400,6450800,SSW,20.0,2100.0
2023-10-14,108300,396600,SSW,31.0,1700.0
2023-10-15,3320100,1861200,S,25.0,2500.0
2023-10-16,6503200,3027400,SW,29.0,2100.0
2023-10-17,2649600,2017500,SSW,18.0,2700.0
2023-10-18,66200,126900,SE,7.0,1500.0
2023-10-19,10600,19800,—,-,-
2023-10-20,23300,50700,S,10.0,1500.0
2023-10-21,1140900,537100,SE,34.0,1600.0
2023-10-22,4989900,3286600,SSE,29.0,1200.0
2023-10-23,13612500,7448000,SSW,24.0,3000.0
2023-10-24,40400,79300,SSE,11.0,4600.0
2023-10-25,18600,40700,ESE,13.0,1300.0
2023-10-26,65100,154900,S,6.0,3100.0
2023-10-27,190300,206700,ESE,13.0,1700.0
2023-10-28,13922100,8767700,SW,24.0,1800.0
2023-10-29,494000,871700,SW,18.0,1000.0
2023-10-30,562800,449500,S,28.0,1500.0
2023-10-31,234500,2587900,SSW,22.0,1500.0
2023-11-01,4804400,2188500,SSW,30.0,1900.0
2023-11-02,11400,65600,SSW,8.0,1300.0
2023-11-03,1400,47000,SE,11.0,1000.0
2023-11-04,157200,164100,S,11.0,2100.0
2023-11-05,13196700,5442900,SSW,33.0,3000.0
2023-11-06,1600,11900,—,-,-
2023-11-07,292300,321400,S,23.0,800.0
2023-11-08,1876100,2135500,SW,22.0,3200.0
2023-11-09,97500,71200,SSE,11.0,1100.0
2023-11-10,36300,54500,SE,22.0,900.0
2023-11-11,4521900,1947400,SW,31.0,2900.0
2023-11-12,742700,530400,SSW,32.0,4300.0
2023-11-13,12200,173900,SE,14.0,700.0
2023-11-14,908600,420000,SSW,38.0,3500.0
2024-03-01,900,2100,—,-,-
2024-03-02,800,6500,—,-,-
2024-03-03,68700,45800,NNE,27.0,3500.0
2024-03-04,6300,61200,N,8.0,2200.0
2024-03-05,2400,3400,—,-,-
2024-03-06,400,16900,—,-,-
2024-03-07,1000,17800,—,-,-
2024-03-08,56900,44900,N,27.0,2500.0
2024-03-09,1500,61700,NE,11.0,1300.0
2024-03-10,300,59500,ENE,12.0,4200.0
2024-03-11,17000,58200,ENE,17.0,800.0
2024-03-12,482200,407200,NE,24.0,1000.0
2024-03-13,806800,390300,NE,31.0,1300.0
2024-03-14,611500,253700,NNE,47.0,2500.0
2024-03-15,300,3600,—,-,-
2024-03-16,532500,273900,NE,46.0,2600.0
2024-03-17,1200,9100,—,-,-
2024-03-18,300,12800,—,-,-
2024-03-19,15500,40300,NE,22.0,800.0
2024-03-20,200,2600,—,-,-
2024-03-21,1800,13600,—,-,-
2024-03-22,5600,9900,—,-,-
2024-03-23,0,300,—,-,-
2024-03-24,2500,4600,—,-,-
2024-03-25,23100,24500,—,-,-
2024-03-26,9900,12500,—,-,-
2024-03-27,1900,10500,—,-,-
2024-03-28,200,1600,—,-,-
2024-03-29,4400,45700,NE,10.0,900.0
2024-03-30,152300,331700,NNE,29.0,2000.0
2024-03-31,463200,354700,NE,22.0,2600.0
2024-04-01,9500,19700,—,-,-
2024-04-02,5200,85300,NNW,15.0,3100.0
2024-04-03,2900,43700,NE,23.0,1600.0
2024-04-04,46500,52200,NE,20.0,1300.0
2024-04-05,800,10800,—,-,-
2024-04-06,500,10300,—,-,-
2024-04-07,826500,532800,N,21.0,2000.0
2024-04-08,3830400,1777700,NE,34.0,1700.0
2024-04-09,822500,450300,NNE,29.0,1900.0
2024-04-10,167600,132400,NNE,24.0,2000.0
2024-04-11,8500,19700,—,-,-
2024-04-12,35800,46100,NE,37.0,1000.0
2024-04-13,6800,21700,—,-,-
2024-04-14,900200,931200,NE,22.0,800.0
2024-04-15,487200,709300,ENE,16.0,1300.0
2024-04-16,2066600,820400,NE,33.0,1900.0
2024-04-17,146300,139900,NNE,28.0,2400.0
2024-04-18,7400,11800,—,-,-
2024-04-19,53000,51800,NNE,17.0,1500.0
2024-04-20,5400,35800,—,-,-
2024-04-21,6900,19000,—,-,-
2024-04-22,828100,675300,NNE,24.0,1900.0
2024-04-23,3003500,1228400,NE,49.0,2500.0
2024-04-24,400,8000,—,-,-
2024-04-25,26700,28800,—,-,-
2024-04-26,315800,241300,NNE,26.0,1900.0
2024-04-27,1113500,983300,NE,39.0,1600.0
2024-04-28,5288900,2860100,NE,26.0,900.0
2024-04-29,4470600,1921200,NNE,34.0,1700.0
2024-04-30,453100,598300,NNE,13.0,1300.0
2024-05-01,2753800,1583800,NNE,30.0,1700.0
2024-05-02,552000,972800,NNE,16.0,700.0
2024-05-03,65800,108600,NNW,18.0,1600.0
2024-05-04,3300,7200,—,-,-
2024-05-05,1189400,822400,NE,37.0,1400.0
2024-05-06,2049100,1938600,NE,21.0,1400.0
2024-05-07,10883800,4701500,NE,35.0,1200.0
2024-05-08,2739000,2570800,ENE,15.0,600.0
2024-05-09,15100,136900,NW,22.0,1600.0
2024-05-10,9600,20200,—,-,-
2024-05-11,412200,828500,NNE,29.0,1300.0
2024-05-12,621300,396600,NE,28.0,1000.0
2024-05-13,9685000,3668200,NE,48.0,1800.0
2024-05-14,66600,334000,NNE,32.0,1600.0
2024-05-15,7200,75000,NE,7.0,1100.0
2024-05-16,12000,31600,—,-,-
2024-05-17,1409500,1634000,NE,16.0,1100.0
2024-05-18,170300,547400,N,16.0,1100.0
2024-05-19,877900,1435500,NNE,16.0,1200.0
2024-05-20,2006800,1132600,NE,28.0,1400.0
2024-05-21,2341300,805200,NE,37.0,1600.0
